date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:43:49	40764/40764	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20May%202026%2018:43:48%20GMT	https://agency-grt-hub.lovable.app/	C:/My%20Web%20Sites/Agencia%20GRT%20New%20Site/agency-grt-hub.lovable.app/index.html	(from )
15:43:49	4944/4944	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2022%20May%202026%2018:43:48%20GMT	https://agency-grt-hub.lovable.app/robots.txt		(from )
15:43:50	5152/5152	---M--	200	added ('OK')	image/webp	date:Fri,%2022%20May%202026%2018:43:49%20GMT	https://agency-grt-hub.lovable.app/assets/logo-grt-j7Jz3EiZ.webp	C:/My%20Web%20Sites/Agencia%20GRT%20New%20Site/agency-grt-hub.lovable.app/assets/logo-grt-j7Jz3EiZ.webp	(from https://agency-grt-hub.lovable.app/)
15:43:51	352394/352394	---M--	200	added ('OK')	image/png	date:Fri,%2022%20May%202026%2018:43:50%20GMT	https://agency-grt-hub.lovable.app/assets/whatsapp-novembro-CCNomYbR.png	C:/My%20Web%20Sites/Agencia%20GRT%20New%20Site/agency-grt-hub.lovable.app/assets/whatsapp-novembro-CCNomYbR.png	(from https://agency-grt-hub.lovable.app/)
15:43:52	90042/90042	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20May%202026%2018:43:51%20GMT	https://agency-grt-hub.lovable.app/assets/whatsapp-satisfaction-hOClpq9f.jpeg	C:/My%20Web%20Sites/Agencia%20GRT%20New%20Site/agency-grt-hub.lovable.app/assets/whatsapp-satisfaction-hOClpq9f.jpg	(from https://agency-grt-hub.lovable.app/)
15:43:53	598059/598059	---M--	200	added ('OK')	image/png	date:Fri,%2022%20May%202026%2018:43:52%20GMT	https://agency-grt-hub.lovable.app/assets/whatsapp-resultado-CpRVIyrn.png	C:/My%20Web%20Sites/Agencia%20GRT%20New%20Site/agency-grt-hub.lovable.app/assets/whatsapp-resultado-CpRVIyrn.png	(from https://agency-grt-hub.lovable.app/)
15:43:54	24048/24048	---M--	200	added ('OK')	image/webp	date:Fri,%2022%20May%202026%2018:43:53%20GMT	https://agency-grt-hub.lovable.app/assets/partner-google-v2-Dxc7t5RT.webp	C:/My%20Web%20Sites/Agencia%20GRT%20New%20Site/agency-grt-hub.lovable.app/assets/partner-google-v2-Dxc7t5RT.webp	(from https://agency-grt-hub.lovable.app/)
15:43:55	35548/35548	---M--	200	added ('OK')	image/webp	date:Fri,%2022%20May%202026%2018:43:54%20GMT	https://agency-grt-hub.lovable.app/assets/partner-meta-v2-Cj1-X9Rc.webp	C:/My%20Web%20Sites/Agencia%20GRT%20New%20Site/agency-grt-hub.lovable.app/assets/partner-meta-v2-Cj1-X9Rc.webp	(from https://agency-grt-hub.lovable.app/)
15:43:56	6308/6308	---M--	200	added ('OK')	image/png	date:Fri,%2022%20May%202026%2018:43:56%20GMT	https://agency-grt-hub.lovable.app/assets/partner-kommo-v2-BDhliOdR.png	C:/My%20Web%20Sites/Agencia%20GRT%20New%20Site/agency-grt-hub.lovable.app/assets/partner-kommo-v2-BDhliOdR.png	(from https://agency-grt-hub.lovable.app/)
15:43:57	527587/527587	---M--	200	added ('OK')	image/png	date:Fri,%2022%20May%202026%2018:43:57%20GMT	https://agency-grt-hub.lovable.app/assets/elison-B3AmhKSh.png	C:/My%20Web%20Sites/Agencia%20GRT%20New%20Site/agency-grt-hub.lovable.app/assets/elison-B3AmhKSh.png	(from https://agency-grt-hub.lovable.app/)
15:43:58	77201/77201	---MCZ	200	added ('OK')	text/css	date:Fri,%2022%20May%202026%2018:43:58%20GMT	https://agency-grt-hub.lovable.app/assets/styles-Cb9-6K76.css	C:/My%20Web%20Sites/Agencia%20GRT%20New%20Site/agency-grt-hub.lovable.app/assets/styles-Cb9-6K76.css	(from https://agency-grt-hub.lovable.app/)
15:43:59	350371/350371	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2022%20May%202026%2018:43:59%20GMT	https://agency-grt-hub.lovable.app/assets/index-MSbAeVh5.js	C:/My%20Web%20Sites/Agencia%20GRT%20New%20Site/agency-grt-hub.lovable.app/assets/index-MSbAeVh5.js	(from https://agency-grt-hub.lovable.app/)
15:44:00	76346/76346	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2022%20May%202026%2018:44:00%20GMT	https://agency-grt-hub.lovable.app/assets/index-D5vAekQg.js	C:/My%20Web%20Sites/Agencia%20GRT%20New%20Site/agency-grt-hub.lovable.app/assets/index-D5vAekQg.js	(from https://agency-grt-hub.lovable.app/)
15:44:01	21296/21296	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2022%20May%202026%2018:44:01%20GMT	https://agency-grt-hub.lovable.app/~flock.js	C:/My%20Web%20Sites/Agencia%20GRT%20New%20Site/agency-grt-hub.lovable.app/_flock.js	(from https://agency-grt-hub.lovable.app/)
15:44:04	7291884/7291884	---M--	200	added ('OK')	video/mp4	date:Fri,%2022%20May%202026%2018:44:02%20GMT	https://agency-grt-hub.lovable.app/testimonial.mp4	C:/My%20Web%20Sites/Agencia%20GRT%20New%20Site/agency-grt-hub.lovable.app/testimonial.mp4	(from https://agency-grt-hub.lovable.app/)
